Sub Category,Price,Discount,Rating,Title,Currency,Feature
Batteries,$20.99 ,No Discount,,"Duracell Coppertop Alkaline AA Batteries, 40-count",$,POWER BOOST™ Ingredients   Guaranteed For 12 Years In Storage   #1 Trusted Battery Brand   Long Lasting Performance
Batteries,$20.99 ,No Discount,,"Duracell Coppertop Alkaline AAA Batteries, 40-count",$,POWER BOOST™ Ingredients   Guaranteed For 12 Years In Storage   #1 Trusted Battery Brand   Long Lasting Performance
Batteries,$20.99 ,No Discount,,"Duracell 9V Alkaline Batteries, 8-count",$,Long-Lasting Batteries Designed for Dependability   Guaranteed 5 Years in Storage   #1 Trusted Battery Brand
Batteries,$18.99 ,No Discount,,"Duracell C Alkaline Batteries, 14-count",$,Long-Lasting Batteries Designed for Dependability   Guaranteed 10 Years in Storage   #1 Trusted Battery Brand
Batteries,$14.99 ,No Discount,Rated 4.8 out of 5 stars based on 125 reviews.,"Duracell 2032 Lithium Coin Batteries, 12-count",$,Our Longest Lasting Lithium Coin Battery Ever   Compatible with Apple AirTag   Child Safety - Bitter Taste Discourages Swallowing   Child Secure Packaging   Guaranteed 10 Years in Storage
Batteries,$18.99 ,No Discount,,"Duracell D Alkaline Batteries, 14-count",$,Long-Lasting Batteries Designed for Dependability   Guaranteed 10 Years in Storage   #1 Trusted Battery Brand
Batteries,$299.99through-$449.99,Special Event - Ends on 01/21/24,,Jackery Explorer 550 Portable Power Station,$,"500W Output Power, 1000W Peak   High Power, Large Capacity 550Wh   Multiple Input / Out Ports, Charge up to 7 Devices Simultaneously   Station Features: 1 AC Outlet, 2 DC Ports, 1 Car Port & 3 USB-A Ports   Multiple Charging Methods: Solar Panel, Car Outlets, Wall Charge"
Batteries,"$1,149.99through-$1,499.99",Special Event - Ends on 01/21/24,,Jackery Explorer 2000 Pro Portable Power Station,$,"2220W Output Power, 4400W Peak   High Power, Large Capacity 2160Wh   Multiple Input / Out Ports, Charge up to 8 Devices Simultaneously   Station Features: 3 AC Outlets, 2 USB-A Ports, 2 USB-C Ports, 1 Car Port   Multiple Charging Methods: Solar Panel, Car Outlets, Wall Charge"
Cameras & Camcorders,$289.99 ,Price valid through 1/21/24,Rated 4.2 out of 5 stars based on 238 reviews.,GoPro HERO11 Black Action Camera Bundle,$,"Also Includes: Shorty Hand Grip, Spare Enduro Battery (2 total), Compact Case, 64GB microSD   5K Video + 27MP Photos
Waterproof up to 33 feet
Built-in Wi-Fi, Bluetooth and Voice Control
Webcam and Live Streaming Functionality"
Cameras & Camcorders,$399.99 ,Price valid through 3/31/24,Rated 4.4 out of 5 stars based on 99 reviews.,Insta360 X3 - 5.7K 360° Action Camera Adventure Bundle,$,"X3 Captures 5.7K 360 Active HDR Video   Dual 1/2"" 48MP Sensors for Greater Clarity and Detail   4K Single-Lens Mode: Select a Lens to Shoot Wide-Angle Footage   Flowstate Stabilization and Horizon Leveling Algorithms Deliver Smooth Videos   In the Box: Insta360 X3, Cable, Pouch, Lens Cloth and Cap, Extra Battery, Selfie Stick, and Memory Card"
Cameras & Camcorders,$429.99 ,No Discount,Rated 4.4 out of 5 stars based on 115 reviews.,DJI Mini 3 Drone Aerial Camera Bundle,$,Less Than 249g (0.55lbs) Ultralight and Foldable   Gimbal with 4K HDR Camera   38-Min Flight Time and True Vertical Shooting   38kph (Level 5) Wind Resistance   Includes: 64GB SD Card and ND Filter Set
Cameras & Camcorders,$239.97 ,No Discount,Rated 4.1 out of 5 stars based on 311 reviews.,GoPro HERO10 Black Action Camera Bundle,$,"Also Includes: Extra Battery/Charger, Compact Case and 64GB MicroSD
5K Video + 20MP Photos
Waterproof up to 33 feet
Built-in Wi-Fi, Bluetooth and Voice Control
Webcam and Live Streaming Functionality"
Cameras & Camcorders,$349.99 ,Price valid through 3/31/24,Rated 3.6 out of 5 stars based on 11 reviews.,Insta360 GO 3 Action Camera Bundle,$,"Includes Pendant, Easy Clip, and Pivot Stand Accessories   Also Includes 64GB microSD Card   Detachable Camera for Ultimate Mounting Flexibility and Convenience   Control Camera Remotely with Action Pod   IPX4 Waterproofing"
Cameras & Camcorders,$839.99 ,No Discount,Rated 4.5 out of 5 stars based on 418 reviews.,DJI Mini 3 Pro Drone Bundle,$,"Less Than 0.55lbs Ultralight and Foldable   Tri-Directional Obstacle Sensing with 48MP Camera   34-Min Flight Time and 4K HDR Video   True Vertical Shooting and Focus Track   Includes: 2 Extra Batteries, Battery Charger, and 128GB microSD"
Cameras & Camcorders,$849.99 ,No Discount,Rated 4.3 out of 5 stars based on 49 reviews.,Autel Robotics - EVO Lite+ Premium Bundle - Drone with Remote Controller (Android and iOS Compatible) - Orange,$,"Get Crisp, Vibrant Details at Night with Autel’s Moonlight Algorithm – Even with the ISO Cranked High   Fly Farther with Crisp, Clear Visuals with Autel SkyLink and a Transmission Range of 7.4 miles   Fly Confidently with New Ultra-Wide Angle Obstacle Avoidance"
Desktop Computers & PCs,$649.99 ,No Discount,Rated 4.5 out of 5 stars based on 128 reviews.,Lenovo IdeaCentre 3i Desktop - 13th Gen Intel Core i5-13400 - Windows 11,$,13th Gen Intel® Core i5-13400 (10-Core) Processor   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.0   Integrated Intel® UHD 730 Graphics   Wired Keyboard & Wired Mouse   Microsoft® Windows 11 Home (64-bit)
Desktop Computers & PCs,"$1,699.99 ",After $400 OFF,Rated 5 out of 5 stars based on 4 reviews.,Dell XPS Tower - 13th Gen Intel Core i7-13700 - GeForce RTX 4060Ti - Windows 11  ,$,"13th Gen Intel® Core i7-13700 (16-Core) Processor   NVIDIA® GeForce RTX™ 4060Ti, 8GB   Killer™ Wi-Fi 6E AX1675 (2x2) Gig+ and Bluetooth® 5.3   Dell Multimedia Keyboard & Wired Mouse   1 Year Dell Onsite Service after Remote Diagnosis²"
Desktop Computers & PCs,$579.99 ,No Discount,Rated 4.7 out of 5 stars based on 186 reviews.,"Mac mini – Apple M2 Chip 8-core CPU, 10-core GPU – 8GB Memory – 256GB SSD –  Silver",$,"M2 Chip for Exceptional Speed and Performance   8-Core CPU Packs up to 18 Percent Faster Performance to Fly Through Workflows1:
10-Core GPU with up to 35 Percent Faster Performance for Graphics-intensive Apps1   16-Core Neural Engine for Advanced Machine Learning"
Desktop Computers & PCs,$999.99 ,After $500 OFF,Rated 4.5 out of 5 stars based on 169 reviews.,"Dell Inspiron 27"" 7000 Series All-in-One Touchscreen Desktop - 13th Gen Intel Core i7-1355U - GeForce MX550 - 1080p - Windows 11",$,"13th Gen Intel® Core™ i7-1355U Processor   27"" Touchscreen InfinityEdge FHD (1920 x 1080) Display   NVIDIA® GeForce MX550, 2GB   1TB Solid State Drive   Intel Wi-Fi 6E (2x2/160) Gig+ and Bluetooth 5.2"
Desktop Computers & PCs,$599.99 ,After $200 OFF,Rated 4.7 out of 5 stars based on 27 reviews.,"HP 23.8"" Touchscreen All-in-One Desktop - AMD Ryzen 5 7520U - 1080p - Windows 11",$,Microsoft® Windows 11 Home   AMD Ryzen™ 5 7520U Processor   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.3   HP True Vision 720p HD Tilt Privacy Camera   HP White Wired Keyboard + Mouse
Desktop Computers & PCs,"$1,399.99 ",No Discount,Rated 4.5 out of 5 stars based on 74 reviews.,Dell Inspiron Desktop - 13th Gen Intel Core i7-13700 - GeForce RTX 3060 - Windows 11,$,"13th Gen Intel® Core i7-13700 (16-Core) Processor   NVIDIA® GeForce RTX 3060, 12GB   Intel® Wi-Fi 6 (2x2/160) Gig+ and Bluetooth®   Tray load DVD Drive (Reads & Writes to DVD/CD)   Microsoft® Windows 11 Home (64-bit)"
Desktop Computers & PCs,$599.99 ,No Discount,Rated 3.7 out of 5 stars based on 20 reviews.,Dell Inspiron Small Form Desktop - 13th Gen Intel Core i5-13400 - Windows 11 Pro,$,13th Gen Intel® Core™ i5-13400 (10-Core) Processor   Realtek Wi-Fi 5 (2x2/160) Gig+ and Bluetooth® 5.0   No Optical Drive   Dell Keyboard & Mouse   Microsoft Windows 11 Pro
Desktop Computers & PCs,"$1,249.99 ",No Discount,Rated 4.7 out of 5 stars based on 129 reviews.,"Mac mini – Apple M2 Pro Chip 10-core CPU, 16-core GPU – 16GB Memory – 512GB SSD –  Silver",$,"M2 Chip for Exceptional Speed and Performance   8-Core CPU Packs up to 18 Percent Faster Performance to Fly Through Workflows1:
10-Core GPU with up to 35 Percent Faster Performance for Graphics-intensive Apps1   16-Core Neural Engine for Advanced Machine Learning"
Desktop Computers & PCs,"$1,099.99 ",No Discount,Rated 4.5 out of 5 stars based on 215 reviews.,HP ENVY Desktop - 13th Gen Intel Core i7-13700 - Windows 11 Professional,$,13th Gen Intel® Core i7-13700 (16-Core) Processor   Wi-Fi 6 (2x2) Gig+ and Bluetooth® 5.3   Intel® UHD Graphics 770   HP Black Wireless Keyboard and Mouse Combo   Microsoft® Windows 11 Professional (64-bit)
Desktop Computers & PCs,$999.99 ,No Discount,Rated 4.5 out of 5 stars based on 99 reviews.,"CyberPowerPC Gamer Xtreme Gaming Desktop - 13th Gen Intel Core i5-13400F -  GeForce RTX 4060, Black",$,"Intel Core i5-13400F Processor   NVIDIA® GeForce RTX™ 4060, 8GB   2.0TB Solid State Drive   USB Gaming Keyboard & 7 Colors Gaming Mouse   32GB DDR5 Memory"
Desktop Computers & PCs,$499.99 ,After $150 OFF,Rated 4.5 out of 5 stars based on 35 reviews.,Acer Aspire Desktop – 13th Gen Intel Core i5-13400 – Windows 11,$,13th Gen Intel® Core™ i5-13400 (10-Core) Processor   Intel® Wi-Fi 6E (2x2/160) Gig+ and Bluetooth® 5.3   USB Wired Keyboard and Wired Optical Mouse   Microsoft® Windows 11 Home   2x HDMI
Desktop Computers & PCs,"$1,599.99 ",After $300 OFF,Rated 4.4 out of 5 stars based on 106 reviews.,MSI Aegis R Gaming Desktop - 13th Gen Intel Core i7-13700F -  GeForce RTX 4070 - Windows 11,$,"13th Gen Intel® Core i7-13700F Processor   NVIDIA® GeForce RTX™ 4070, 12GB   1TB Solid State Drive + 2TB Hard Drive   MSI Gaming Keyboard & Mouse   Liquid Cooling 240"
Desktop Computers & PCs,"$1,949.99 ",No Discount,Rated 5 out of 5 stars based on 15 reviews.,"Mac Studio: Apple M2 Max chip with 12‑core CPU, 30‑core GPU, 512GB SSD ",$,M2 Max Chip for Exceptional Performance   12-core CPU Packs Up to 1.8x Faster Performance than 27-inch iMac to Push the Boundaries of Your Workflow¹   30-core GPU with Up to 3.6x Faster Performance than 27-inch iMac for Graphics-Intensive Pro Workflows²   16-core Neural Engine for Advanced Machine Learning   32GB of Unified Memory to Run Multiple Demanding Pro Apps
Desktop Computers & PCs,$769.99 ,No Discount,Rated 4.7 out of 5 stars based on 137 reviews.,"Mac mini – Apple M2 Chip 8-core CPU, 10-core GPU – 8GB Memory – 512GB SSD –  Silver",$,"M2 Chip for Exceptional Speed and Performance   8-Core CPU Packs up to 18 Percent Faster Performance to Fly Through Workflows1:
10-Core GPU with up to 35 Percent Faster Performance for Graphics-intensive Apps1   16-Core Neural Engine for Advanced Machine Learning"
Desktop Computers & PCs,"$1,449.99 ",No Discount,No Reviews,ASUS ROG Strix Gaming Desktop - 13th Gen Intel Core  i7-13700F - NVIDIA GeForce RTX 4060 - Windows 11 Home,$,13th Gen Intel® Core™ i7-13700F 2.1GHz (16-Core) Processor   NVIDIA® GeForce RTX™4060 DUAL 8GB GDDR6   Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth® 5.3   High Definition 7.1 Channel Audio
Desktop Computers & PCs,"$1,299.99 ",No Discount,Rated 4.3 out of 5 stars based on 7 reviews.,HP Victus Gaming Desktop – 13th Gen Intel Core i7-13700F GeForce RTX 4060 – Window 11 ,$,"13th Gen Intel® Core™ i7-13700F (16-core) Processor   NVIDIA® GeForce RTX™ 4060, 8GB Graphics   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.3   HyperX Alloy Core RGB Wired Keyboard and HyperX Pulsefire Core Wired Mouse   3x DisplayPort"
Desktop Computers & PCs,"$3,799.99 ",No Discount,Rated 5 out of 5 stars based on 8 reviews.,"Mac Studio: Apple M2 Ultra chip with 24‑core CPU, 60‑core GPU, 1TB SSD",$,M2 Ultra Chip for Exceptional Performance   24-core CPU Packs Up to 3.3x Faster Performance than 27-inch iMac to Push the Boundaries of Your Workflow¹   60-core GPU with Up to 6.1x Faster Performance than 27-inch iMac for Graphics-Intensive Pro Workflows²   32-core Neural Engine for Advanced Machine Learning   64GB of Unified Memory to Run Multiple Demanding Pro Apps
Desktop Computers & PCs,"$1,249.99 ",No Discount,Rated 4.7 out of 5 stars based on 29 reviews.,"iMac (23.5-inch) - Apple M3 chip with 8GB Memory, 8-core CPU and 8-core GPU, 256GB SSD",$,"The world’s best all-in-one desktop computer, now supercharged by the M3 chip   Stunning 23.5-inch display ¹ in an iconic design and a six-speaker sound system with Spatial Audio   Look and sound your best with a 1080p FaceTime HD camera and a studio-quality three-mic array   All your go-to apps run lightning fast—including Microsoft 365, Adobe Creative Cloud, and Zoom"
Desktop Computers & PCs,"$1,099.99 ",After $100 OFF,Rated 4.7 out of 5 stars based on 100 reviews.,"HP 27"" All-in-One Touchscreen Desktop - 13th Gen Intel Core i7-1355U - 1080p - Windows 11",$,"13th Gen Intel® Core i7-1355U (10-Core) Processor   27"" Touchscreen IPS Three-Sided Micro-Edge FHD (1920 x 1080) 250-Nits Display   HP White Wireless Keyboard and Mouse   HP True Vision 720p HD Tilt Privacy Camera   Fixed Detachable Stand"
Desktop Computers & PCs,"$1,649.99 ",No Discount,Rated 4.7 out of 5 stars based on 16 reviews.,"iMac (24-inch) - Apple M3 chip with 8GB Memory, 8-core CPU and 10-core GPU, 512GB SSD ",$,"The world’s best all-in-one desktop computer, now supercharged by the M3 chip   Stunning 23.5-inch display ¹ in an iconic design and a six-speaker sound system with Spatial Audio   Look and sound your best with a 1080p FaceTime HD camera and a studio-quality three-mic array   All your go-to apps run lightning fast—including Microsoft 365, Adobe Creative Cloud, and Zoom"
Desktop Computers & PCs,"$1,299.99 ",No Discount,Rated 4.3 out of 5 stars based on 53 reviews.,iBUYPOWER SlateMesh Gaming Desktop- 13th Gen Intel Core i7 - 13700F - GeForce RTX 4060 - Windows 11,$,"13th Gen Intel® Core™ i7-13700F (16-Core) Processor   NVIDIA® GeForce RTX™ 4060 Graphics, 8GB   2TB NVMe Solid State Drive   Gaming USB Keyboard + Gaming USB Mouse   Windows 11 Home"
Desktop Computers & PCs,$599.99 ,After $150 OFF,Rated 4.3 out of 5 stars based on 169 reviews.,Dell Inspiron Desktop - 13th Gen Intel Core i5-13400 - Windows 11 ,$,13th Gen Intel® Core™ i5-13400 (10-Core) Processor   Realtek Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.2   Integrated Intel® UHD 730 Graphics   DVD Drive (Reads and Writes to DVD/CD)
Desktop Computers & PCs,$449.99 ,No Discount,Rated 4.5 out of 5 stars based on 90 reviews.,"HP 23.8"" Touchscreen All-in-One Desktop - AMD Ryzen 3 7320U - 1080p - Windows 11",$,Microsoft® Windows 11 Home   AMD Ryzen™ 3 7320U Processor   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.3   HP True Vision 720p HD Tilt Privacy Camera   HP White Wired Keyboard + Mouse
Desktop Computers & PCs,$94.99 ,No Discount,Rated 4.8 out of 5 stars based on 81 reviews.,"Apple Magic Mouse, Black ",$,"Magic Mouse is Wireless and Rechargeable, with an Optimized Foot Design that lets it Glide Smoothly Across your Desk   Multi-Touch Surface Allows you to Perform Simple Gestures Such as Swiping Between Web Pages and Scrolling Through Documents   The Rechargeable Battery will Power your Magic Mouse for About a Month or More Between Charges   It’s Ready to go Right out of the Box and Pairs Automatically with your Mac, and it Includes a Woven USB-C to Lightning Cable that lets you Pair and Charge by Connecting to a USB-C Port on your Mac."
Desktop Computers & PCs,$999.99 ,No Discount,Rated 4.5 out of 5 stars based on 103 reviews.,"Lenovo IdeaCentre 27"" All-in-One Touchscreen Desktop - 13th Gen Intel Core i7-13620H - 1080p - Windows 11",$,"13th Gen Intel® Core i7-13620H (10-Core) Processor   27"" Touchscreen IPS FHD (1920 x 1080) 300-Nits Display   Integrated 5MP Webcam   Includes Wireless Keyboard and Mouse   1x HDMI Out"
Desktop Computers & PCs,"$1,449.99 ",No Discount,Rated 4.5 out of 5 stars based on 8 reviews.,"iMac (24-inch) - Apple M3 chip with 8GB Memory, 8-core CPU and 10-core GPU, 256GB SSD",$,"The world’s best all-in-one desktop computer, now supercharged by the M3 chip   Stunning 23.5-inch display ¹ in an iconic design and a six-speaker sound system with Spatial Audio   Look and sound your best with a 1080p FaceTime HD camera and a studio-quality three-mic array   All your go-to apps run lightning fast—including Microsoft 365, Adobe Creative Cloud, and Zoom"
Desktop Computers & PCs,$899.99 ,No Discount,Rated 5 out of 5 stars based on 1 reviews.,Skytech Chronos Mini Gaming Desktop - 13th Gen Intel Core i5-13400F - GeForce RTX 4060,$,"13th Gen Intel® Core™ i5-13400F (10-Core) Processor   NVIDIA®   GeForce RTX™ 4060, 8GB   1TB NVMe™ M.2 Solid State Drive   Gaming Keyboard & Mouse"
Desktop Computers & PCs,"$2,499.99 ",After $400 OFF,Rated 4.5 out of 5 stars based on 13 reviews.,HP OMEN 45L Gaming Desktop - 13th Gen Intel Core i9-13900KF - GeForce RTX 4070 Ti - Windows 11,$,"13th Gen Intel® Core™ i9-13900KF (24-core) Processor   NVIDIA® GeForce RTX™ 4070 Ti, 12GB Graphics   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.3   Liquid Cooled   3x DisplayPort"
Desktop Computers & PCs,"$1,599.99 ",No Discount,Rated 4.5 out of 5 stars based on 33 reviews.,MSI Aegis R Gaming Desktop - 13th Gen Intel Core i7-13700F - GeForce RTX 4060Ti - Windows 11 ,$,"13th Gen Intel® Core™ i7-13700F (16-Core) Processor   NVIDIA® GeForce RTX™ 4060Ti Graphics, 16GB   Wi-Fi 6E Gig+ Bluetooth® 5.3   MSI Gaming KB + Mouse   Windows 11 Home"
Desktop Computers & PCs,$699.99 ,No Discount,Rated 4.5 out of 5 stars based on 83 reviews.,"HP 27"" Touchscreen All-in-One Desktop - AMD Ryzen 7 5700U - 1080p - Windows 11",$,"27"" Touchscreen IPS Three-Sided Micro-Edge Anti-Glare FHD (1920 x 1080) 300-Nits Display   AMD Ryzen™ 7 5700U (8-core) Processor   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.0   HP True Vision 720p HD Privacy Camera   HP White Wired Keyboard + Mouse"
Desktop Computers & PCs,$599.99 ,No Discount,Rated 4.5 out of 5 stars based on 315 reviews.,HP Pavilion Desktop - AMD Ryzen 5 5600G - Windows 11,$,AMD Ryzen™ 5 5600G (6-core) Processor   1TB 7200RPM SATA Hard Drive + 256GB PCIe® NVMe™ M.2 Solid State Drive   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.2   USB Black Wired Keyboard and Mouse Combo   Microsoft® Windows 11 Home (64-bit)
Desktop Computers & PCs,$999.97 ,No Discount,Rated 4.7 out of 5 stars based on 338 reviews.,"iMac 24"" with Retina 4.5K Display - Apple M1 Chip 8-Core CPU, 8-Core GPU - 8GB Memory - 256GB SSD",$,"Apple M1 Chip Brings Incredible Speed and Radical Thinness to iMac   8-Core CPU, 8-Core GPU, and a 16-Core Neural Engine, so Everything is Fluid and Responsive   4.5K Retina Display with True Tone Technology   256GB SSD Storage   Two Thunderbolt/USB 4 Ports, Two USB 3 Ports, Gigabit Ethernet"
Desktop Computers & PCs,$699.99 ,After $100 OFF,Rated 4.8 out of 5 stars based on 19 reviews.,"Dell Inspiron 23.8"" All-in-One Touchscreen Desktop - AMD Ryzen 5 7530U - 1080p - Windows 11",$,"AMD Ryze​n™ 5 7530U (6-Core) Processor   23.8"" AIT Touchscreen Anti-Glare InfinityEdge FHD (1920 x 1080) 60Hz Display   MediaTek Wi-Fi 6 (2x2) Gig+   Dell Pro Wireless Black Keyboard + Mouse   Microsoft® Windows 11 Home (64-bit)"
Desktop Computers & PCs,$849.99 ,No Discount,Rated 4.7 out of 5 stars based on 54 reviews.,"HP 23.8"" All-in-One Touchscreen Desktop - AMD Ryzen 5 7520U - 1080p - Windows 11",$,"AMD Ryzen™ 5 7520U Processor   23.8"" Touchscreen IPS Three-Sided Micro-Edge Anti-Glare FHD (1920 x 1080) 300-Nits Display   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth® 5.3   HP True Vision 720p HD Tilt Privacy Camera   HP White Wired Keyboard and Mouse"
